epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.28599,1.00489,0.4,1,2.5102,0.0706,0.00326667,0.00326667
2,13.6075,0.69216,0.4,1,3.15073,0.0405347,0.00653466,0.00653466
3,18.7319,0.7474,0.44,1,2.83351,0.0104033,0.00973665,0.00973665
4,23.7652,0.69399,0.52,1,3.08007,0.009703,0.009703,0.009703
5,28.7867,0.86234,0.36,1,2.20666,0.009604,0.009604,0.009604
6,33.8255,0.8878,0.52,1,1.57618,0.009505,0.009505,0.009505
7,38.9144,0.68682,0.52,1,1.75816,0.009406,0.009406,0.009406
8,43.9879,0.66954,0.52,1,2.56227,0.009307,0.009307,0.009307
9,48.944,0.66843,0.28,1,2.83022,0.009208,0.009208,0.009208
10,53.9595,0.52366,0.44,1,1.61568,0.009109,0.009109,0.009109
11,58.9609,0.49426,0.52,1,2.1956,0.00901,0.00901,0.00901
12,64.269,0.51584,0.48,1,2.1994,0.008911,0.008911,0.008911
13,69.5306,0.61798,0.56,1,2.54099,0.008812,0.008812,0.008812
14,74.6459,0.69015,0.44,1,2.72973,0.008713,0.008713,0.008713
15,79.6409,0.67839,0.56,1,3.01818,0.008614,0.008614,0.008614
16,84.5997,0.46069,0.6,1,3.42334,0.008515,0.008515,0.008515
17,89.6249,0.50202,0.4,1,2.00222,0.008416,0.008416,0.008416
18,94.5851,0.45321,0.48,1,3.71154,0.008317,0.008317,0.008317
19,99.5322,0.48219,0.52,1,2.39965,0.008218,0.008218,0.008218
20,104.502,0.4335,0.56,1,2.33098,0.008119,0.008119,0.008119
21,109.689,0.54298,0.6,1,2.62671,0.00802,0.00802,0.00802
22,114.615,0.46216,0.48,1,1.22173,0.007921,0.007921,0.007921
23,119.728,0.39451,0.68,1,1.60297,0.007822,0.007822,0.007822
24,124.766,0.41029,0.68,1,1.36265,0.007723,0.007723,0.007723
25,129.81,0.3578,0.56,1,2.49425,0.007624,0.007624,0.007624
26,134.862,0.44802,0.48,1,2.52124,0.007525,0.007525,0.007525
27,139.851,0.29995,0.4,1,2.49329,0.007426,0.007426,0.007426
28,144.991,0.38646,0.64,1,2.95813,0.007327,0.007327,0.007327
29,150.119,0.37759,0.6,1,2.07042,0.007228,0.007228,0.007228
30,155.166,0.35728,0.44,1,2.87647,0.007129,0.007129,0.007129
31,160.098,0.33237,0.44,1,2.03496,0.00703,0.00703,0.00703
32,165.026,0.24733,0.44,1,2.14074,0.006931,0.006931,0.006931
33,170.018,0.28056,0.52,1,1.65911,0.006832,0.006832,0.006832
34,175.011,0.21718,0.48,1,2.05149,0.006733,0.006733,0.006733
35,179.964,0.2215,0.44,1,2.21344,0.006634,0.006634,0.006634
36,184.939,0.27995,0.4,1,2.3392,0.006535,0.006535,0.006535
37,190.047,0.2498,0.36,1,2.912,0.006436,0.006436,0.006436
38,195.029,0.29038,0.4,1,2.11179,0.006337,0.006337,0.006337
39,199.903,0.30073,0.48,1,2.41778,0.006238,0.006238,0.006238
40,204.892,0.27232,0.4,1,4.30247,0.006139,0.006139,0.006139
41,209.821,0.2401,0.48,1,2.66679,0.00604,0.00604,0.00604
42,214.92,0.16263,0.48,1,2.91156,0.005941,0.005941,0.005941
43,220.035,0.21497,0.44,1,3.01053,0.005842,0.005842,0.005842
44,225.282,0.19031,0.48,1,2.35593,0.005743,0.005743,0.005743
45,231.111,0.21869,0.48,1,2.82119,0.005644,0.005644,0.005644
46,236.092,0.16887,0.28,1,3.34008,0.005545,0.005545,0.005545
47,241.024,0.17294,0.28,1,2.88188,0.005446,0.005446,0.005446
48,246.312,0.19205,0.28,1,3.49233,0.005347,0.005347,0.005347
49,251.486,0.14717,0.4,1,3.39653,0.005248,0.005248,0.005248
50,257.062,0.17013,0.4,1,3.13202,0.005149,0.005149,0.005149
51,262.086,0.16451,0.4,1,2.19131,0.00505,0.00505,0.00505
52,267.046,0.1559,0.36,1,2.84463,0.004951,0.004951,0.004951
53,271.941,0.17421,0.28,1,2.86022,0.004852,0.004852,0.004852
54,276.864,0.12794,0.36,1,3.152,0.004753,0.004753,0.004753
55,281.931,0.14621,0.36,1,2.88341,0.004654,0.004654,0.004654
56,286.785,0.12672,0.48,1,2.85386,0.004555,0.004555,0.004555
57,291.646,0.0964,0.4,1,2.19936,0.004456,0.004456,0.004456
58,296.521,0.11442,0.36,1,2.12542,0.004357,0.004357,0.004357
59,301.377,0.11833,0.4,1,2.70292,0.004258,0.004258,0.004258
60,306.277,0.1019,0.48,1,2.69715,0.004159,0.004159,0.004159
61,311.173,0.10902,0.44,1,1.68023,0.00406,0.00406,0.00406
62,315.858,0.09549,0.4,1,2.52777,0.003961,0.003961,0.003961
63,320.553,0.11285,0.44,1,1.80927,0.003862,0.003862,0.003862
64,325.219,0.10399,0.56,1,2.51445,0.003763,0.003763,0.003763
65,329.822,0.10399,0.48,1,2.66874,0.003664,0.003664,0.003664
66,334.498,0.06367,0.36,1,2.70344,0.003565,0.003565,0.003565
67,339.2,0.0862,0.32,1,2.415,0.003466,0.003466,0.003466
68,343.958,0.05332,0.44,1,2.44704,0.003367,0.003367,0.003367
69,348.652,0.10035,0.44,1,2.65786,0.003268,0.003268,0.003268
70,353.294,0.05322,0.4,1,2.8298,0.003169,0.003169,0.003169
71,357.927,0.10337,0.4,1,3.3221,0.00307,0.00307,0.00307
72,362.622,0.08066,0.52,1,3.07255,0.002971,0.002971,0.002971
73,367.301,0.05302,0.4,1,2.60329,0.002872,0.002872,0.002872
74,372.033,0.08182,0.36,1,2.73538,0.002773,0.002773,0.002773
75,376.713,0.06392,0.4,1,3.52047,0.002674,0.002674,0.002674
76,381.404,0.05712,0.44,1,3.24732,0.002575,0.002575,0.002575
77,386.085,0.07121,0.52,1,3.12573,0.002476,0.002476,0.002476
78,843.417,0.04012,0.48,1,2.59206,0.002377,0.002377,0.002377
79,848.432,0.07579,0.44,1,2.70542,0.002278,0.002278,0.002278
80,853.3,0.04437,0.48,1,2.20049,0.002179,0.002179,0.002179
81,858.238,0.06681,0.48,1,2.0221,0.00208,0.00208,0.00208
82,863.286,0.03685,0.44,1,2.15005,0.001981,0.001981,0.001981
83,868.17,0.06349,0.44,1,3.47848,0.001882,0.001882,0.001882
84,873.098,0.04014,0.4,1,2.99547,0.001783,0.001783,0.001783
85,878.018,0.03877,0.28,1,3.57241,0.001684,0.001684,0.001684
86,882.879,0.03408,0.28,1,2.93699,0.001585,0.001585,0.001585
87,887.768,0.04036,0.32,1,2.52564,0.001486,0.001486,0.001486
88,892.833,0.03641,0.32,1,2.90422,0.001387,0.001387,0.001387
89,897.854,0.03067,0.4,1,2.43196,0.001288,0.001288,0.001288
90,903.35,0.04312,0.32,1,3.0443,0.001189,0.001189,0.001189
91,908.448,0.06131,0.32,1,2.66686,0.00109,0.00109,0.00109
92,913.432,0.04581,0.28,1,3.10231,0.000991,0.000991,0.000991
93,918.456,0.04905,0.28,1,3.00615,0.000892,0.000892,0.000892
94,923.698,0.04395,0.32,1,2.90536,0.000793,0.000793,0.000793
95,929,0.04587,0.4,1,2.5404,0.000694,0.000694,0.000694
96,934.328,0.03072,0.36,1,2.45782,0.000595,0.000595,0.000595
97,939.337,0.05766,0.4,1,2.87017,0.000496,0.000496,0.000496
98,944.488,0.05356,0.36,1,2.57521,0.000397,0.000397,0.000397
99,949.491,0.01538,0.36,1,3.51576,0.000298,0.000298,0.000298
100,954.455,0.0339,0.36,1,2.74356,0.000199,0.000199,0.000199
