                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1047,                   0.55,                      1,                 1.2227,                 0.0919,                 0.0009,                 0.0009
                      2,                0.26893,                    0.6,                      1,                 1.1338,               0.082881,              0.0018812,              0.0018812
                      3,                0.12094,                   0.65,                      1,                 1.1172,               0.073843,              0.0028426,              0.0028426
                      4,                0.31469,                    0.5,                      1,                 1.2832,               0.064784,              0.0037842,              0.0037842
                      5,                0.46189,                   0.45,                      1,                 1.3018,               0.055706,               0.004706,               0.004706
                      6,                0.42612,                    0.5,                      1,                 1.2295,               0.046608,              0.0056079,              0.0056079
                      7,                0.53293,                   0.35,                      1,                 1.4141,                0.03749,              0.0064901,              0.0064901
                      8,                  0.672,                   0.25,                      1,                 1.4941,               0.028353,              0.0073525,              0.0073525
                      9,                0.76151,                    0.3,                      1,                 1.4756,               0.019195,              0.0081951,              0.0081951
                     10,                 0.7415,                   0.15,                      1,                  1.583,               0.010018,              0.0090179,              0.0090179
                     11,                0.54594,                   0.45,                      1,                 1.2978,                0.00901,                0.00901,                0.00901
                     12,                0.51536,                   0.45,                      1,                 1.3174,               0.008911,               0.008911,               0.008911
                     13,                0.43942,                    0.4,                      1,                  1.335,               0.008812,               0.008812,               0.008812
                     14,                0.60478,                    0.6,                      1,                 1.1152,               0.008713,               0.008713,               0.008713
                     15,                0.86443,                    0.7,                      1,                 1.0615,               0.008614,               0.008614,               0.008614
                     16,                 0.8865,                   0.55,                      1,                 1.2002,               0.008515,               0.008515,               0.008515
                     17,                0.56469,                    0.4,                      1,                 1.3369,               0.008416,               0.008416,               0.008416
                     18,                0.48952,                    0.5,                      1,                 1.2158,               0.008317,               0.008317,               0.008317
                     19,                0.45423,                    0.6,                      1,                 1.1397,               0.008218,               0.008218,               0.008218
                     20,                0.60387,                   0.65,                      1,                  1.125,               0.008119,               0.008119,               0.008119
                     21,                0.65544,                   0.65,                      1,                 1.1143,                0.00802,                0.00802,                0.00802
                     22,                0.38444,                    0.6,                      1,                 1.1357,               0.007921,               0.007921,               0.007921
                     23,                0.35956,                   0.55,                      1,                 1.1699,               0.007822,               0.007822,               0.007822
                     24,                0.43618,                    0.6,                      1,                 1.1543,               0.007723,               0.007723,               0.007723
                     25,                0.39121,                   0.65,                      1,                 1.1455,               0.007624,               0.007624,               0.007624
                     26,                0.36425,                   0.55,                      1,                  1.165,               0.007525,               0.007525,               0.007525
                     27,                0.29927,                    0.5,                      1,                 1.2353,               0.007426,               0.007426,               0.007426
                     28,                0.31928,                    0.6,                      1,                 1.1894,               0.007327,               0.007327,               0.007327
                     29,                0.23336,                   0.65,                      1,                 1.1523,               0.007228,               0.007228,               0.007228
                     30,                0.36057,                    0.7,                      1,                 1.0772,               0.007129,               0.007129,               0.007129
                     31,                 0.5616,                   0.65,                      1,                 1.1172,                0.00703,                0.00703,                0.00703
                     32,                0.38135,                   0.65,                      1,                 1.0977,               0.006931,               0.006931,               0.006931
                     33,                0.37711,                    0.6,                      1,                 1.1035,               0.006832,               0.006832,               0.006832
                     34,                0.32201,                    0.6,                      1,                 1.1191,               0.006733,               0.006733,               0.006733
                     35,                0.37217,                    0.6,                      1,                 1.0801,               0.006634,               0.006634,               0.006634
                     36,                0.35195,                    0.7,                      1,                 1.0635,               0.006535,               0.006535,               0.006535
                     37,                0.30089,                   0.75,                      1,                 1.0586,               0.006436,               0.006436,               0.006436
                     38,                0.42761,                    0.6,                      1,                 1.1035,               0.006337,               0.006337,               0.006337
                     39,                0.27173,                    0.6,                      1,                 1.1211,               0.006238,               0.006238,               0.006238
                     40,                0.42842,                    0.6,                      1,                 1.1123,               0.006139,               0.006139,               0.006139
                     41,                0.24542,                    0.6,                      1,                 1.1006,                0.00604,                0.00604,                0.00604
                     42,                0.23595,                   0.65,                      1,                  1.084,               0.005941,               0.005941,               0.005941
                     43,                0.22561,                   0.65,                      1,                 1.0928,               0.005842,               0.005842,               0.005842
                     44,                0.34958,                    0.5,                      1,                 1.1777,               0.005743,               0.005743,               0.005743
                     45,                0.35146,                   0.45,                      1,                 1.2139,               0.005644,               0.005644,               0.005644
                     46,                0.25707,                   0.45,                      1,                 1.2559,               0.005545,               0.005545,               0.005545
                     47,                 0.3247,                    0.6,                      1,                 1.1562,               0.005446,               0.005446,               0.005446
                     48,                0.26504,                    0.6,                      1,                 1.1269,               0.005347,               0.005347,               0.005347
                     49,                0.22682,                   0.65,                      1,                 1.0928,               0.005248,               0.005248,               0.005248
                     50,                0.19056,                   0.65,                      1,                 1.0986,               0.005149,               0.005149,               0.005149
                     51,                0.28545,                   0.65,                      1,                 1.0996,                0.00505,                0.00505,                0.00505
                     52,                0.23149,                   0.65,                      1,                 1.0947,               0.004951,               0.004951,               0.004951
                     53,                0.47667,                   0.65,                      1,                 1.0938,               0.004852,               0.004852,               0.004852
                     54,                0.50571,                   0.65,                      1,                 1.0986,               0.004753,               0.004753,               0.004753
                     55,                0.24484,                   0.65,                      1,                 1.1084,               0.004654,               0.004654,               0.004654
                     56,                0.26908,                   0.55,                      1,                 1.1738,               0.004555,               0.004555,               0.004555
                     57,                0.24028,                   0.45,                      1,                 1.2305,               0.004456,               0.004456,               0.004456
                     58,                0.31151,                    0.5,                      1,                 1.2266,               0.004357,               0.004357,               0.004357
                     59,                0.18535,                   0.55,                      1,                 1.1543,               0.004258,               0.004258,               0.004258
                     60,                0.18593,                   0.65,                      1,                 1.0859,               0.004159,               0.004159,               0.004159
                     61,                0.15391,                   0.65,                      1,                 1.0752,                0.00406,                0.00406,                0.00406
                     62,                0.22747,                   0.65,                      1,                 1.0811,               0.003961,               0.003961,               0.003961
                     63,                0.21473,                   0.55,                      1,                 1.1289,               0.003862,               0.003862,               0.003862
                     64,                0.22284,                   0.65,                      1,                 1.1279,               0.003763,               0.003763,               0.003763
                     65,                0.23153,                    0.7,                      1,                 1.0889,               0.003664,               0.003664,               0.003664
                     66,                  0.238,                    0.7,                      1,                 1.0732,               0.003565,               0.003565,               0.003565
                     67,                 0.1614,                    0.7,                      1,                 1.0566,               0.003466,               0.003466,               0.003466
                     68,                0.08991,                    0.7,                      1,                 1.0361,               0.003367,               0.003367,               0.003367
                     69,                0.12968,                    0.7,                      1,                 1.0195,               0.003268,               0.003268,               0.003268
                     70,                0.14911,                    0.7,                      1,                 1.0137,               0.003169,               0.003169,               0.003169
                     71,                0.16846,                    0.7,                      1,                 1.0205,                0.00307,                0.00307,                0.00307
                     72,                0.09843,                    0.7,                      1,                   1.04,               0.002971,               0.002971,               0.002971
                     73,                0.07317,                    0.7,                      1,                 1.0703,               0.002872,               0.002872,               0.002872
                     74,                0.15309,                    0.7,                      1,                 1.0898,               0.002773,               0.002773,               0.002773
                     75,                0.09602,                    0.7,                      1,                 1.0762,               0.002674,               0.002674,               0.002674
                     76,                0.26302,                    0.7,                      1,                 1.0684,               0.002575,               0.002575,               0.002575
                     77,                0.07085,                   0.65,                      1,                 1.0742,               0.002476,               0.002476,               0.002476
                     78,                0.23322,                   0.65,                      1,                 1.0811,               0.002377,               0.002377,               0.002377
                     79,                0.10259,                   0.65,                      1,                 1.0693,               0.002278,               0.002278,               0.002278
                     80,                0.12599,                   0.65,                      1,                 1.0615,               0.002179,               0.002179,               0.002179
                     81,                0.17785,                   0.65,                      1,                 1.0811,                0.00208,                0.00208,                0.00208
                     82,                0.12394,                   0.65,                      1,                 1.0996,               0.001981,               0.001981,               0.001981
                     83,                0.10767,                   0.65,                      1,                 1.0957,               0.001882,               0.001882,               0.001882
                     84,                 0.1021,                   0.65,                      1,                 1.1084,               0.001783,               0.001783,               0.001783
                     85,                0.14134,                   0.55,                      1,                 1.0986,               0.001684,               0.001684,               0.001684
                     86,                 0.0555,                   0.65,                      1,                 1.0781,               0.001585,               0.001585,               0.001585
                     87,                0.06769,                   0.65,                      1,                 1.0723,               0.001486,               0.001486,               0.001486
                     88,                0.11579,                    0.7,                      1,                 1.0586,               0.001387,               0.001387,               0.001387
                     89,                 0.0851,                    0.7,                      1,                 1.0527,               0.001288,               0.001288,               0.001288
                     90,                0.15357,                   0.65,                      1,                 1.0674,               0.001189,               0.001189,               0.001189
                     91,                0.09798,                   0.65,                      1,                 1.0762,                0.00109,                0.00109,                0.00109
                     92,                0.04912,                   0.65,                      1,                 1.0752,               0.000991,               0.000991,               0.000991
                     93,                0.11044,                   0.65,                      1,                 1.0713,               0.000892,               0.000892,               0.000892
                     94,                0.14119,                   0.65,                      1,                 1.0703,               0.000793,               0.000793,               0.000793
                     95,                0.10797,                   0.55,                      1,                 1.0772,               0.000694,               0.000694,               0.000694
                     96,                0.08572,                   0.55,                      1,                 1.0772,               0.000595,               0.000595,               0.000595
                     97,                0.09777,                   0.65,                      1,                 1.0732,               0.000496,               0.000496,               0.000496
                     98,                0.08547,                   0.65,                      1,                 1.0752,               0.000397,               0.000397,               0.000397
                     99,                0.07069,                   0.65,                      1,                 1.0732,               0.000298,               0.000298,               0.000298
                    100,                0.06634,                   0.65,                      1,                 1.0732,               0.000199,               0.000199,               0.000199
