epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.4941,1.16764,0.4,1,2.69583,0.0706,0.00326667,0.00326667
2,21.9773,0.78383,0.6,1,1.7134,0.0399466,0.0059466,0.0059466
3,27.0474,0.66321,0.36,1,1.68001,0.0086332,0.00796653,0.00796653
4,32.0806,0.57134,0.48,1,2.89501,0.00703,0.00703,0.00703
5,37.1913,0.53662,0.48,1,3.07111,0.00604,0.00604,0.00604
6,42.1792,0.50179,0.4,1,2.2011,0.00505,0.00505,0.00505
7,47.1176,0.45496,0.48,1,1.86093,0.00406,0.00406,0.00406
8,52.0138,0.3632,0.48,1,1.93561,0.00307,0.00307,0.00307
9,56.974,0.31368,0.48,1,2.19075,0.00208,0.00208,0.00208
10,62.2367,0.26971,0.44,1,1.70698,0.00109,0.00109,0.00109
