epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.04527,1.00489,0.4,1,2.5102,0.0706,0.00326667,0.00326667
2,12.5573,0.68822,0.4,1,3.15207,0.0404693,0.00646932,0.00646932
3,17.7319,0.73623,0.48,1,2.77822,0.0102066,0.00953997,0.00953997
4,22.7598,0.67649,0.52,1,3.0897,0.009406,0.009406,0.009406
5,27.7398,0.84389,0.44,1,2.23445,0.009208,0.009208,0.009208
6,32.7985,0.78528,0.48,1,1.72883,0.00901,0.00901,0.00901
7,37.7423,0.5886,0.52,1,1.84857,0.008812,0.008812,0.008812
8,42.8456,0.59477,0.56,1,1.68933,0.008614,0.008614,0.008614
9,47.895,0.64173,0.4,1,3.90139,0.008416,0.008416,0.008416
10,52.8607,0.46133,0.52,1,1.84867,0.008218,0.008218,0.008218
11,57.6973,0.54201,0.48,1,3.4442,0.00802,0.00802,0.00802
12,62.5847,0.53268,0.48,1,2.59477,0.007822,0.007822,0.007822
13,67.5212,0.5888,0.36,1,2.8332,0.007624,0.007624,0.007624
14,72.4771,0.57513,0.48,1,1.89576,0.007426,0.007426,0.007426
15,77.3786,0.48918,0.48,1,2.30871,0.007228,0.007228,0.007228
16,82.3308,0.45083,0.52,1,2.58616,0.00703,0.00703,0.00703
17,87.293,0.4712,0.28,1,2.91689,0.006832,0.006832,0.006832
18,92.4129,0.37667,0.6,1,2.79147,0.006634,0.006634,0.006634
19,97.4763,0.37285,0.48,1,2.86602,0.006436,0.006436,0.006436
20,102.456,0.38556,0.32,1,1.90136,0.006238,0.006238,0.006238
21,107.568,0.44509,0.48,1,3.01767,0.00604,0.00604,0.00604
22,112.572,0.3676,0.32,1,3.19988,0.005842,0.005842,0.005842
23,117.671,0.31,0.48,1,1.98486,0.005644,0.005644,0.005644
24,122.819,0.32631,0.56,1,1.99986,0.005446,0.005446,0.005446
25,127.839,0.32335,0.56,1,1.88545,0.005248,0.005248,0.005248
26,132.757,0.3406,0.48,1,2.55071,0.00505,0.00505,0.00505
27,137.649,0.26153,0.48,1,1.36517,0.004852,0.004852,0.004852
28,142.577,0.25787,0.52,1,3.08127,0.004654,0.004654,0.004654
29,147.459,0.24424,0.4,1,1.98748,0.004456,0.004456,0.004456
30,152.413,0.27143,0.48,1,3.19357,0.004258,0.004258,0.004258
31,157.345,0.21663,0.44,1,2.03789,0.00406,0.00406,0.00406
32,162.205,0.22081,0.44,1,2.46758,0.003862,0.003862,0.003862
33,167.105,0.17243,0.32,1,3.01346,0.003664,0.003664,0.003664
34,172.015,0.1171,0.4,1,2.66839,0.003466,0.003466,0.003466
35,176.885,0.18272,0.4,1,2.4477,0.003268,0.003268,0.003268
36,181.783,0.15142,0.44,1,2.60606,0.00307,0.00307,0.00307
37,186.702,0.15864,0.48,1,2.36467,0.002872,0.002872,0.002872
38,191.639,0.17548,0.44,1,2.45091,0.002674,0.002674,0.002674
39,196.547,0.15132,0.44,1,3.02005,0.002476,0.002476,0.002476
40,201.453,0.19474,0.4,1,2.66138,0.002278,0.002278,0.002278
41,206.367,0.11425,0.4,1,1.59356,0.00208,0.00208,0.00208
42,211.271,0.10356,0.4,1,1.92792,0.001882,0.001882,0.001882
43,216.143,0.09262,0.44,1,2.06624,0.001684,0.001684,0.001684
44,221.127,0.10227,0.52,1,1.56179,0.001486,0.001486,0.001486
45,226.019,0.07402,0.44,1,2.25214,0.001288,0.001288,0.001288
46,230.948,0.08651,0.44,1,2.0228,0.00109,0.00109,0.00109
47,235.847,0.14357,0.44,1,2.08356,0.000892,0.000892,0.000892
48,240.758,0.0978,0.44,1,2.42718,0.000694,0.000694,0.000694
49,245.726,0.09884,0.4,1,2.54955,0.000496,0.000496,0.000496
50,250.733,0.11215,0.36,1,2.74379,0.000298,0.000298,0.000298
