epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.95982,1.00489,0.4,1,2.5102,0.0706,0.00326667,0.00326667
2,12.1631,0.68297,0.4,1,3.15759,0.0403822,0.0063822,0.0063822
3,17.1633,0.72334,0.44,1,3.43639,0.0099444,0.00927773,0.00927773
4,22.162,0.66262,0.4,1,3.48931,0.00901,0.00901,0.00901
5,27.0893,0.82853,0.44,1,1.7159,0.00868,0.00868,0.00868
6,32.0736,0.79258,0.52,1,1.64039,0.00835,0.00835,0.00835
7,36.9724,0.64607,0.44,1,2.1261,0.00802,0.00802,0.00802
8,41.9365,0.55998,0.52,1,2.18444,0.00769,0.00769,0.00769
9,46.8797,0.59374,0.56,1,2.53509,0.00736,0.00736,0.00736
10,51.7881,0.50562,0.56,1,2.05117,0.00703,0.00703,0.00703
11,56.7041,0.50511,0.48,1,3.84609,0.0067,0.0067,0.0067
12,61.6603,0.43773,0.48,1,2.32481,0.00637,0.00637,0.00637
13,66.591,0.41197,0.48,1,2.33869,0.00604,0.00604,0.00604
14,71.4909,0.40747,0.52,1,1.77989,0.00571,0.00571,0.00571
15,76.4191,0.40492,0.6,1,2.03094,0.00538,0.00538,0.00538
16,81.3705,0.37042,0.52,1,2.57692,0.00505,0.00505,0.00505
17,86.2846,0.34481,0.52,1,1.5361,0.00472,0.00472,0.00472
18,91.2076,0.24152,0.44,1,3.1183,0.00439,0.00439,0.00439
19,96.1171,0.27704,0.6,1,1.67773,0.00406,0.00406,0.00406
20,101.033,0.22116,0.56,1,1.70176,0.00373,0.00373,0.00373
21,106.193,0.20718,0.48,1,2.07269,0.0034,0.0034,0.0034
22,111.153,0.22552,0.56,1,1.98577,0.00307,0.00307,0.00307
23,116.254,0.2361,0.6,1,2.19757,0.00274,0.00274,0.00274
24,121.399,0.22051,0.48,1,2.88395,0.00241,0.00241,0.00241
25,126.401,0.19035,0.56,1,2.32337,0.00208,0.00208,0.00208
26,131.418,0.17152,0.56,1,2.96501,0.00175,0.00175,0.00175
27,136.474,0.13459,0.52,1,1.55641,0.00142,0.00142,0.00142
28,141.558,0.11258,0.44,1,2.90197,0.00109,0.00109,0.00109
29,146.575,0.14935,0.52,1,2.58716,0.00076,0.00076,0.00076
30,151.716,0.10874,0.52,1,2.17393,0.00043,0.00043,0.00043
