epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.84102,1.00489,0.4,1,2.5102,0.0706,0.00326667,0.00326667
2,12.0153,0.69216,0.4,1,3.15073,0.0405347,0.00653466,0.00653466
3,16.9913,0.7474,0.44,1,2.83351,0.0104033,0.00973665,0.00973665
4,21.8981,0.69399,0.52,1,3.08007,0.009703,0.009703,0.009703
5,26.8614,0.86234,0.36,1,2.20666,0.009604,0.009604,0.009604
6,31.7889,0.8878,0.52,1,1.57618,0.009505,0.009505,0.009505
7,36.6919,0.68682,0.52,1,1.75816,0.009406,0.009406,0.009406
8,41.6108,0.66954,0.52,1,2.56227,0.009307,0.009307,0.009307
9,46.5495,0.66843,0.28,1,2.83022,0.009208,0.009208,0.009208
10,51.5215,0.52366,0.44,1,1.61568,0.009109,0.009109,0.009109
11,56.3979,0.49426,0.52,1,2.1956,0.00901,0.00901,0.00901
12,61.4047,0.51584,0.48,1,2.1994,0.008911,0.008911,0.008911
13,66.2758,0.61798,0.56,1,2.54099,0.008812,0.008812,0.008812
14,71.1847,0.69015,0.44,1,2.72973,0.008713,0.008713,0.008713
15,76.0946,0.67839,0.56,1,3.01818,0.008614,0.008614,0.008614
16,81.0009,0.46069,0.6,1,3.42334,0.008515,0.008515,0.008515
17,85.913,0.50202,0.4,1,2.00222,0.008416,0.008416,0.008416
18,90.8503,0.45321,0.48,1,3.71154,0.008317,0.008317,0.008317
19,95.7463,0.48219,0.52,1,2.39965,0.008218,0.008218,0.008218
20,100.645,0.4335,0.56,1,2.33098,0.008119,0.008119,0.008119
21,105.5,0.54298,0.6,1,2.62671,0.00802,0.00802,0.00802
22,110.386,0.46216,0.48,1,1.22173,0.007921,0.007921,0.007921
23,115.258,0.39451,0.68,1,1.60297,0.007822,0.007822,0.007822
24,120.125,0.41029,0.68,1,1.36265,0.007723,0.007723,0.007723
25,124.996,0.3578,0.56,1,2.49425,0.007624,0.007624,0.007624
26,129.947,0.44802,0.48,1,2.52124,0.007525,0.007525,0.007525
27,134.831,0.29995,0.4,1,2.49329,0.007426,0.007426,0.007426
28,139.698,0.38646,0.64,1,2.95813,0.007327,0.007327,0.007327
29,144.629,0.37759,0.6,1,2.07042,0.007228,0.007228,0.007228
30,149.523,0.35728,0.44,1,2.87647,0.007129,0.007129,0.007129
31,154.499,0.33237,0.44,1,2.03496,0.00703,0.00703,0.00703
32,159.422,0.24733,0.44,1,2.14074,0.006931,0.006931,0.006931
33,164.276,0.28056,0.52,1,1.65911,0.006832,0.006832,0.006832
34,169.224,0.21718,0.48,1,2.05149,0.006733,0.006733,0.006733
35,174.08,0.2215,0.44,1,2.21344,0.006634,0.006634,0.006634
36,178.96,0.27995,0.4,1,2.3392,0.006535,0.006535,0.006535
37,183.834,0.2498,0.36,1,2.912,0.006436,0.006436,0.006436
38,188.777,0.29038,0.4,1,2.11179,0.006337,0.006337,0.006337
39,193.641,0.30073,0.48,1,2.41778,0.006238,0.006238,0.006238
40,198.521,0.27232,0.4,1,4.30247,0.006139,0.006139,0.006139
41,203.361,0.2401,0.48,1,2.66679,0.00604,0.00604,0.00604
42,208.242,0.16263,0.48,1,2.91156,0.005941,0.005941,0.005941
43,213.212,0.21497,0.44,1,3.01053,0.005842,0.005842,0.005842
44,218.153,0.19031,0.48,1,2.35593,0.005743,0.005743,0.005743
45,223.098,0.21869,0.48,1,2.82119,0.005644,0.005644,0.005644
46,228.021,0.16887,0.28,1,3.34008,0.005545,0.005545,0.005545
47,232.932,0.17294,0.28,1,2.88188,0.005446,0.005446,0.005446
48,237.811,0.19205,0.28,1,3.49233,0.005347,0.005347,0.005347
49,242.711,0.14717,0.4,1,3.39653,0.005248,0.005248,0.005248
