epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.07796,0.86039,0.44,1,3.3726,0.0784,0.0024,0.0024
2,16.9426,0.65891,0.2,1,103.282,0.0558515,0.00485149,0.00485149
3,24.4266,1.09461,0.12,1,7.21009,0.0332535,0.00725348,0.00725348
4,31.8444,0.9994,0.32,1,3.4442,0.010606,0.00960597,0.00960597
5,39.3059,0.88644,0.52,1,2.73464,0.009604,0.009604,0.009604
6,46.7545,0.99695,0.56,1,1.67782,0.009505,0.009505,0.009505
7,54.2024,1.00255,0.28,1,9.03077,0.009406,0.009406,0.009406
8,61.6183,1.01572,0.2,1,2.07477,0.009307,0.009307,0.009307
9,69.0225,1.00859,0.28,1,4.97259,0.009208,0.009208,0.009208
10,76.4112,1.01094,0.28,1,1.99089,0.009109,0.009109,0.009109
11,83.8085,0.80705,0.52,1,1.79211,0.00901,0.00901,0.00901
12,91.2192,0.88304,0.6,1,2.85439,0.008911,0.008911,0.008911
13,98.6541,0.86717,0.52,1,2.09849,0.008812,0.008812,0.008812
14,106.038,0.77896,0.44,1,1.92056,0.008713,0.008713,0.008713
15,113.441,0.6198,0.44,1,2.2276,0.008614,0.008614,0.008614
16,120.84,0.78419,0.44,1,3.21508,0.008515,0.008515,0.008515
17,128.232,0.77694,0.56,1,1.36049,0.008416,0.008416,0.008416
18,135.626,0.68464,0.48,1,1.34031,0.008317,0.008317,0.008317
19,143.032,0.61608,0.52,1,1.91377,0.008218,0.008218,0.008218
20,150.459,0.6156,0.52,1,1.67873,0.008119,0.008119,0.008119
21,157.934,0.63461,0.6,1,1.503,0.00802,0.00802,0.00802
22,165.325,0.53036,0.52,1,1.77142,0.007921,0.007921,0.007921
23,172.718,0.60958,0.48,1,1.69363,0.007822,0.007822,0.007822
24,180.156,0.54395,0.52,1,2.41262,0.007723,0.007723,0.007723
25,187.598,0.5905,0.6,1,1.73729,0.007624,0.007624,0.007624
26,194.987,0.53697,0.6,1,1.76394,0.007525,0.007525,0.007525
27,202.374,0.38048,0.4,1,3.07392,0.007426,0.007426,0.007426
28,209.833,0.45066,0.52,1,2.45509,0.007327,0.007327,0.007327
29,217.226,0.46897,0.48,1,2.19516,0.007228,0.007228,0.007228
30,224.615,0.48459,0.56,1,1.68208,0.007129,0.007129,0.007129
31,231.998,0.50192,0.44,1,2.31845,0.00703,0.00703,0.00703
32,243.502,0.41322,0.36,1,2.77304,0.006931,0.006931,0.006931
33,250.901,0.411,0.4,1,2.49434,0.006832,0.006832,0.006832
34,258.275,0.35507,0.52,1,1.99226,0.006733,0.006733,0.006733
35,265.685,0.37036,0.48,1,1.62843,0.006634,0.006634,0.006634
36,273.098,0.38008,0.56,1,1.87633,0.006535,0.006535,0.006535
37,280.508,0.40551,0.6,1,1.50899,0.006436,0.006436,0.006436
38,287.906,0.30929,0.44,1,1.59091,0.006337,0.006337,0.006337
39,295.299,0.32238,0.56,1,1.4095,0.006238,0.006238,0.006238
40,302.72,0.33389,0.48,1,2.00594,0.006139,0.006139,0.006139
41,310.126,0.31565,0.52,1,1.7478,0.00604,0.00604,0.00604
42,317.51,0.25998,0.4,1,1.87839,0.005941,0.005941,0.005941
43,324.933,0.34026,0.4,1,2.73011,0.005842,0.005842,0.005842
44,332.346,0.23669,0.4,1,2.53314,0.005743,0.005743,0.005743
45,339.76,0.28478,0.4,1,2.68438,0.005644,0.005644,0.005644
46,347.152,0.25168,0.44,1,2.64206,0.005545,0.005545,0.005545
47,354.565,0.26511,0.48,1,2.89431,0.005446,0.005446,0.005446
48,361.987,0.27837,0.48,1,2.34538,0.005347,0.005347,0.005347
49,369.385,0.20271,0.36,1,1.96723,0.005248,0.005248,0.005248
50,376.771,0.24097,0.56,1,2.00169,0.005149,0.005149,0.005149
51,384.321,0.21526,0.56,1,2.33988,0.00505,0.00505,0.00505
52,391.698,0.20605,0.56,1,1.94282,0.004951,0.004951,0.004951
53,399.267,0.21313,0.44,1,2.29699,0.004852,0.004852,0.004852
54,406.846,0.18174,0.44,1,2.79003,0.004753,0.004753,0.004753
55,414.451,0.24744,0.4,1,2.91462,0.004654,0.004654,0.004654
56,421.88,0.19236,0.56,1,2.74097,0.004555,0.004555,0.004555
57,429.265,0.20218,0.52,1,3.49953,0.004456,0.004456,0.004456
58,436.627,0.17522,0.44,1,2.95044,0.004357,0.004357,0.004357
59,444.001,0.21174,0.44,1,2.70226,0.004258,0.004258,0.004258
60,451.447,0.24353,0.48,1,2.66306,0.004159,0.004159,0.004159
61,458.845,0.16178,0.48,1,2.31623,0.00406,0.00406,0.00406
62,466.263,0.2016,0.48,1,1.84228,0.003961,0.003961,0.003961
63,474.088,0.16956,0.56,1,1.91953,0.003862,0.003862,0.003862
64,481.933,0.23477,0.44,1,2.82694,0.003763,0.003763,0.003763
65,489.437,0.1924,0.4,1,2.14827,0.003664,0.003664,0.003664
66,497.197,0.15358,0.52,1,1.75317,0.003565,0.003565,0.003565
67,504.868,0.12696,0.36,1,3.46045,0.003466,0.003466,0.003466
68,512.374,0.15876,0.32,1,2.48011,0.003367,0.003367,0.003367
69,519.855,0.13605,0.28,1,2.2497,0.003268,0.003268,0.003268
70,527.344,0.17493,0.4,1,1.89368,0.003169,0.003169,0.003169
71,534.79,0.14935,0.24,1,2.07965,0.00307,0.00307,0.00307
72,542.274,0.19362,0.44,1,1.8715,0.002971,0.002971,0.002971
