epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.17422,1.64187,0.1,1,1.60476,0.0982,0.0002,0.0002
2,4.38263,1.26383,0.5,1,1.35911,0.095495,0.00049505,0.00049505
3,5.4756,0.85842,0.6,1,1.1814,0.0927842,0.00078416,0.00078416
4,6.56447,0.40546,0.6,1,1.01447,0.0900673,0.00106733,0.00106733
5,7.64499,0.21583,0.7,1,0.87764,0.0873446,0.00134456,0.00134456
6,8.70863,0.07905,0.7,1,0.87601,0.0846159,0.00161585,0.00161585
7,9.76617,0.03501,0.7,1,1.17147,0.0818812,0.0018812,0.0018812
8,10.8061,0.10101,0.7,1,1.51259,0.0791406,0.00214061,0.00214061
9,11.8637,0.04081,0.8,1,1.40924,0.0763941,0.00239408,0.00239408
10,12.9043,0.00364,0.7,1,1.35507,0.0736416,0.00264161,0.00264161
11,13.9344,0.60229,0.6,1,2.32259,0.0708832,0.0028832,0.0028832
12,14.9405,0.44244,0.3,1,4.96908,0.0681189,0.00311885,0.00311885
13,15.982,0.21777,0.5,1,2.5211,0.0653486,0.00334856,0.00334856
14,17.0204,0.3849,0.4,1,2.6813,0.0625723,0.00357233,0.00357233
15,18.0433,0.48382,0.3,1,18.9904,0.0597902,0.00379016,0.00379016
16,19.0558,0.65652,0.3,1,11.0911,0.057002,0.00400205,0.00400205
17,20.0883,0.74107,0.4,1,14.5059,0.054208,0.004208,0.004208
18,21.101,0.66088,0.5,1,4.81039,0.051408,0.00440801,0.00440801
19,22.1132,1.11335,0.4,1,12.7083,0.0486021,0.00460208,0.00460208
20,23.1249,0.27062,0.4,1,17.416,0.0457902,0.00479021,0.00479021
21,24.1269,0.39743,0.2,1,12.4007,0.0429724,0.0049724,0.0049724
22,25.1405,0.5902,0.2,1,8.91076,0.0401487,0.00514865,0.00514865
23,26.1697,0.40893,0.3,1,7.61804,0.037319,0.00531896,0.00531896
24,27.1934,1.05351,0.3,1,17.1366,0.0344833,0.00548333,0.00548333
25,28.3208,0.85385,0.3,1,28.9384,0.0316418,0.00564176,0.00564176
26,29.3635,0.49252,0.3,1,19.5099,0.0287943,0.00579425,0.00579425
27,30.4196,0.73692,0.3,1,15.9235,0.0259408,0.0059408,0.0059408
28,31.5486,0.68412,0.2,1,14.6423,0.0230814,0.00608141,0.00608141
29,32.5885,0.47167,0.2,1,14.6423,0.0202161,0.00621608,0.00621608
30,33.6106,0.67418,0.2,1,9.77447,0.0173448,0.00634481,0.00634481
31,34.6314,1.5536,0.3,1,16.808,0.0144676,0.0064676,0.0064676
32,35.6258,0.77624,0.2,1,14.2649,0.0115844,0.00658445,0.00658445
33,36.6352,0.65555,0.2,1,14.2649,0.00869536,0.00669536,0.00669536
34,37.6607,0.52726,0.3,1,18.294,0.006733,0.006733,0.006733
35,38.7039,0.48345,0.2,1,9.76926,0.006634,0.006634,0.006634
36,39.7271,0.4039,0.3,1,11.001,0.006535,0.006535,0.006535
37,40.7286,0.55877,0.3,1,11.001,0.006436,0.006436,0.006436
38,41.7515,0.55043,0.3,1,13.1444,0.006337,0.006337,0.006337
39,42.7638,0.75777,0.3,1,12.1662,0.006238,0.006238,0.006238
40,43.781,0.34316,0.4,1,10.8041,0.006139,0.006139,0.006139
41,44.7621,0.99385,0.4,1,10.8041,0.00604,0.00604,0.00604
42,45.7807,0.53821,0.2,1,10.8943,0.005941,0.005941,0.005941
43,46.8063,0.55762,0.2,1,12.0641,0.005842,0.005842,0.005842
44,47.8052,0.5137,0.3,1,11.4572,0.005743,0.005743,0.005743
