epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.70685,1.6839,0.4,1,1.52121,0.0964,0.0004,0.0004
2,4.54312,1.2209,0.5,1,1.28463,0.0918911,0.00089109,0.00089109
3,5.24711,0.91666,0.6,1,1.22838,0.0873723,0.00137228,0.00137228
4,5.97887,0.64466,0.8,1,1.50582,0.0828436,0.00184357,0.00184357
5,6.69827,0.43522,0.6,1,1.46815,0.078305,0.00230496,0.00230496
6,7.37924,0.23024,0.6,1,1.30717,0.0737565,0.00275645,0.00275645
7,8.05942,0.11492,0.8,1,1.62465,0.069198,0.00319804,0.00319804
8,8.72329,0.20567,0.7,1,1.93311,0.0646297,0.00362973,0.00362973
9,9.40346,0.12187,0.8,1,1.97579,0.0600515,0.00405152,0.00405152
10,10.0808,0.08828,0.8,1,2.36424,0.0554634,0.00446341,0.00446341
11,10.7634,0.33567,0.8,1,2.54028,0.0508654,0.0048654,0.0048654
12,11.4307,0.1355,0.7,1,2.43765,0.0462575,0.00525749,0.00525749
13,12.0817,0.07827,0.6,1,2.60137,0.0416397,0.00563968,0.00563968
14,12.7489,0.28238,0.6,1,2.60137,0.037012,0.00601197,0.00601197
15,13.3998,0.44,0.6,1,4.57639,0.0323744,0.00637436,0.00637436
16,14.1056,0.15134,0.4,1,5.72584,0.0277268,0.00672685,0.00672685
17,14.782,0.54133,0.5,1,5.10877,0.0230694,0.00706944,0.00706944
18,15.4291,0.33374,0.5,1,5.10877,0.0184021,0.00740213,0.00740213
19,16.0671,0.728,0.5,1,4.03759,0.0137249,0.00772492,0.00772492
20,16.7203,0.36628,0.5,1,3.78682,0.00903781,0.00803781,0.00803781
21,17.3416,0.46005,0.5,1,3.78682,0.00802,0.00802,0.00802
22,18.039,0.45606,0.5,1,3.4493,0.007921,0.007921,0.007921
23,18.7161,0.20533,0.4,1,3.00273,0.007822,0.007822,0.007822
24,19.3657,0.89437,0.4,1,3.00273,0.007723,0.007723,0.007723
25,20.019,0.20608,0.5,1,2.96731,0.007624,0.007624,0.007624
26,20.6492,0.30225,0.5,1,2.96731,0.007525,0.007525,0.007525
27,21.3487,0.88383,0.6,1,3.36994,0.007426,0.007426,0.007426
28,22.0375,0.64911,0.5,1,2.12493,0.007327,0.007327,0.007327
29,22.681,0.33567,0.5,1,2.12493,0.007228,0.007228,0.007228
30,23.3625,0.57499,0.6,1,2.35901,0.007129,0.007129,0.007129
31,24.0222,0.13476,0.5,1,2.53866,0.00703,0.00703,0.00703
32,24.6645,0.24064,0.5,1,2.53866,0.006931,0.006931,0.006931
33,25.3286,0.68344,0.5,1,2.96721,0.006832,0.006832,0.006832
34,25.9629,0.44413,0.5,1,2.96721,0.006733,0.006733,0.006733
35,26.6097,0.63728,0.4,1,2.46768,0.006634,0.006634,0.006634
36,27.2723,0.3245,0.6,1,1.9341,0.006535,0.006535,0.006535
37,27.9113,0.16382,0.6,1,1.9341,0.006436,0.006436,0.006436
38,28.5834,0.68598,0.8,1,1.38969,0.006337,0.006337,0.006337
39,29.2328,0.20009,0.7,1,1.64867,0.006238,0.006238,0.006238
40,29.8666,0.17235,0.7,1,1.64867,0.006139,0.006139,0.006139
41,30.5231,0.45277,0.7,1,2.34203,0.00604,0.00604,0.00604
42,31.1389,0.17836,0.7,1,2.34203,0.005941,0.005941,0.005941
43,31.7872,0.07928,0.5,1,2.90179,0.005842,0.005842,0.005842
44,32.4543,0.15644,0.5,1,2.21821,0.005743,0.005743,0.005743
45,33.0996,0.17642,0.5,1,2.21821,0.005644,0.005644,0.005644
46,33.7819,0.04333,0.6,1,1.91562,0.005545,0.005545,0.005545
47,34.4716,0.53839,0.5,1,1.70876,0.005446,0.005446,0.005446
48,35.0933,0.18383,0.5,1,1.70876,0.005347,0.005347,0.005347
49,35.7688,0.27693,0.6,1,1.35086,0.005248,0.005248,0.005248
50,36.4135,0.22018,0.6,1,1.35086,0.005149,0.005149,0.005149
51,37.0616,0.38045,0.5,1,1.91666,0.00505,0.00505,0.00505
52,37.718,0.19716,0.6,1,2.86748,0.004951,0.004951,0.004951
53,38.35,0.15112,0.6,1,2.86748,0.004852,0.004852,0.004852
54,39.0154,0.36273,0.7,1,1.81846,0.004753,0.004753,0.004753
55,39.6791,0.28447,0.8,1,1.62147,0.004654,0.004654,0.004654
56,40.3345,0.11091,0.8,1,1.62147,0.004555,0.004555,0.004555
57,40.9991,0.53992,0.8,1,2.01852,0.004456,0.004456,0.004456
58,41.6155,0.32203,0.8,1,2.01852,0.004357,0.004357,0.004357
59,42.2786,0.16901,0.7,1,3.77444,0.004258,0.004258,0.004258
60,42.9512,0.25632,0.7,1,4.49703,0.004159,0.004159,0.004159
61,43.5863,0.17177,0.7,1,4.49703,0.00406,0.00406,0.00406
62,44.2323,0.31065,0.7,1,4.0017,0.003961,0.003961,0.003961
63,44.9057,0.42341,0.7,1,3.2951,0.003862,0.003862,0.003862
64,45.5501,0.26734,0.7,1,3.2951,0.003763,0.003763,0.003763
65,46.2432,0.40943,0.7,1,1.39084,0.003664,0.003664,0.003664
66,46.889,0.11596,0.7,1,1.39084,0.003565,0.003565,0.003565
67,47.549,0.05359,0.8,1,1.12553,0.003466,0.003466,0.003466
68,48.2383,0.09148,0.8,1,1.14585,0.003367,0.003367,0.003367
69,48.8747,0.0785,0.8,1,1.14585,0.003268,0.003268,0.003268
70,49.5544,0.37183,0.7,1,1.37718,0.003169,0.003169,0.003169
71,50.2137,0.22972,0.7,1,1.70775,0.00307,0.00307,0.00307
72,50.8611,0.20783,0.7,1,1.70775,0.002971,0.002971,0.002971
73,51.5625,0.13449,0.6,1,1.82147,0.002872,0.002872,0.002872
74,52.1985,0.11062,0.6,1,1.82147,0.002773,0.002773,0.002773
75,52.8382,0.17842,0.6,1,2.16445,0.002674,0.002674,0.002674
76,53.4958,0.04054,0.7,1,2.26706,0.002575,0.002575,0.002575
77,54.1464,0.0414,0.7,1,2.26706,0.002476,0.002476,0.002476
78,54.8084,0.25273,0.6,1,2.65002,0.002377,0.002377,0.002377
79,55.4721,0.07788,0.7,1,2.50179,0.002278,0.002278,0.002278
80,56.109,0.0448,0.7,1,2.50179,0.002179,0.002179,0.002179
81,56.7553,0.16203,0.6,1,2.33185,0.00208,0.00208,0.00208
82,57.4053,0.27869,0.6,1,2.33185,0.001981,0.001981,0.001981
83,58.0523,0.08607,0.5,1,2.7737,0.001882,0.001882,0.001882
84,58.738,0.14567,0.5,1,2.94594,0.001783,0.001783,0.001783
85,59.3634,0.07035,0.5,1,2.94594,0.001684,0.001684,0.001684
86,60.0309,0.14652,0.5,1,3.28584,0.001585,0.001585,0.001585
87,60.7075,0.23191,0.5,1,3.58627,0.001486,0.001486,0.001486
88,61.3483,0.17201,0.5,1,3.58627,0.001387,0.001387,0.001387
89,62.0048,0.21569,0.5,1,3.76503,0.001288,0.001288,0.001288
90,62.657,0.04453,0.5,1,3.76503,0.001189,0.001189,0.001189
91,63.3262,0.34321,0.5,1,3.74016,0.00109,0.00109,0.00109
92,63.9793,0.0439,0.4,1,3.86974,0.000991,0.000991,0.000991
93,64.6192,0.06048,0.4,1,3.86974,0.000892,0.000892,0.000892
94,65.2817,0.12954,0.5,1,3.85549,0.000793,0.000793,0.000793
95,65.9629,0.00628,0.5,1,3.77765,0.000694,0.000694,0.000694
96,66.6035,0.16098,0.5,1,3.77765,0.000595,0.000595,0.000595
97,67.2661,0.10394,0.5,1,3.83673,0.000496,0.000496,0.000496
98,67.9132,0.16851,0.5,1,3.83673,0.000397,0.000397,0.000397
99,68.5707,0.23394,0.5,1,3.85101,0.000298,0.000298,0.000298
100,69.2362,0.04874,0.5,1,3.75494,0.000199,0.000199,0.000199
